timestamp,ALT,AZ,CAS,overall
1765905611.0,STOPPED,ERROR,STOPPED,BUSY
1765905611.0,STOPPED,ERROR,STOPPED,BUSY
1765905611.0,STOPPED,ERROR,STOPPED,BUSY
1765905610.0,STOPPED,ERROR,STOPPED,BUSY
1765905610.0,STOPPED,ERROR,STOPPED,BUSY
1765905610.0,STOPPED,ERROR,STOPPED,BUSY
1765905610.0,STOPPED,ERROR,STOPPED,BUSY
1765905610.0,STOPPED,ERROR,STOPPED,BUSY
1765905610.0,STOPPED,ERROR,STOPPED,BUSY
1765905609.0,STOPPED,ERROR,STOPPED,BUSY
1765905609.0,STOPPED,ERROR,STOPPED,BUSY
1765905609.0,STOPPED,ERROR,STOPPED,BUSY
1765905609.0,STOPPED,ERROR,STOPPED,BUSY
1765905609.0,STOPPED,ERROR,STOPPED,BUSY
1765905608.0,STOPPED,ERROR,STOPPED,BUSY
1765905608.0,STOPPED,ERROR,STOPPED,BUSY
1765905608.0,STOPPED,ERROR,STOPPED,BUSY
1765905608.0,STOPPED,ERROR,STOPPED,BUSY
1765905608.0,STOPPED,ERROR,STOPPED,BUSY
1765905607.0,STOPPED,ERROR,STOPPED,BUSY
1765905607.0,STOPPED,ERROR,STOPPED,BUSY
1765905607.0,STOPPED,ERROR,STOPPED,BUSY
1765905607.0,STOPPED,ERROR,STOPPED,BUSY
1765905607.0,STOPPED,ERROR,STOPPED,BUSY
1765905606.0,STOPPED,ERROR,STOPPED,BUSY
1765905606.0,STOPPED,ERROR,STOPPED,BUSY
1765905606.0,STOPPED,ERROR,STOPPED,BUSY
1765905606.0,STOPPED,ERROR,STOPPED,BUSY
1765905606.0,STOPPED,ERROR,STOPPED,BUSY
1765905605.0,STOPPED,ERROR,STOPPED,BUSY
1765905605.0,STOPPED,ERROR,STOPPED,BUSY
1765905605.0,STOPPED,ERROR,STOPPED,BUSY
1765905605.0,STOPPED,ERROR,STOPPED,BUSY
1765905605.0,STOPPED,ERROR,STOPPED,BUSY
1765905605.0,STOPPED,ERROR,STOPPED,BUSY
1765905604.0,STOPPED,ERROR,STOPPED,BUSY
1765905604.0,STOPPED,ERROR,STOPPED,BUSY
1765905604.0,STOPPED,ERROR,STOPPED,BUSY
1765905604.0,STOPPED,ERROR,STOPPED,BUSY
1765905604.0,STOPPED,ERROR,STOPPED,BUSY
1765905603.0,STOPPED,ERROR,STOPPED,BUSY
1765905603.0,STOPPED,ERROR,STOPPED,BUSY
1765905603.0,STOPPED,ERROR,STOPPED,BUSY
1765905603.0,STOPPED,ERROR,STOPPED,BUSY
1765905603.0,STOPPED,ERROR,STOPPED,BUSY
1765905602.0,STOPPED,ERROR,STOPPED,BUSY
1765905602.0,STOPPED,ERROR,STOPPED,BUSY
1765905602.0,STOPPED,ERROR,STOPPED,BUSY
1765905602.0,STOPPED,ERROR,STOPPED,BUSY
1765905602.0,STOPPED,ERROR,STOPPED,BUSY
1765905601.0,STOPPED,ERROR,STOPPED,BUSY
1765905601.0,STOPPED,ERROR,STOPPED,BUSY
1765905601.0,STOPPED,ERROR,STOPPED,BUSY
1765905601.0,STOPPED,ERROR,STOPPED,BUSY
1765905601.0,STOPPED,ERROR,STOPPED,BUSY
1765905600.0,STOPPED,ERROR,STOPPED,BUSY
1765905600.0,STOPPED,ERROR,STOPPED,BUSY
1765905600.0,STOPPED,ERROR,STOPPED,BUSY
1765905600.0,IN POSN,ERROR,STOPPED,BUSY
1765905600.0,IN POSN,ERROR,STOPPED,BUSY
1765905600.0,IN POSN,ERROR,STOPPED,BUSY
1765905599.0,IN POSN,ERROR,STOPPED,BUSY
1765905599.0,IN POSN,ERROR,STOPPED,BUSY
1765905599.0,IN POSN,ERROR,STOPPED,BUSY
1765905599.0,IN POSN,ERROR,STOPPED,BUSY
1765905599.0,IN POSN,ERROR,STOPPED,BUSY
1765905598.0,IN POSN,ERROR,STOPPED,BUSY
1765905598.0,IN POSN,ERROR,STOPPED,BUSY
1765905598.0,IN POSN,ERROR,STOPPED,BUSY
1765905598.0,IN POSN,ERROR,STOPPED,BUSY
1765905598.0,IN POSN,ERROR,STOPPED,BUSY
1765905597.0,IN POSN,ERROR,STOPPED,BUSY
1765905597.0,IN POSN,ERROR,STOPPED,BUSY
1765905597.0,IN POSN,ERROR,STOPPED,BUSY
1765905597.0,IN POSN,ERROR,STOPPED,BUSY
1765905597.0,IN POSN,ERROR,STOPPED,BUSY
1765905596.0,IN POSN,ERROR,STOPPED,BUSY
1765905596.0,IN POSN,ERROR,STOPPED,BUSY
1765905596.0,IN POSN,ERROR,STOPPED,BUSY
1765905596.0,IN POSN,ERROR,STOPPED,BUSY
1765905596.0,IN POSN,ERROR,STOPPED,BUSY
1765905595.0,IN POSN,ERROR,STOPPED,BUSY
1765905595.0,IN POSN,ERROR,STOPPED,BUSY
1765905595.0,IN POSN,ERROR,STOPPED,BUSY
1765905595.0,IN POSN,ERROR,STOPPED,BUSY
1765905595.0,IN POSN,ERROR,STOPPED,BUSY
1765905595.0,IN POSN,ERROR,STOPPED,BUSY
1765905594.0,IN POSN,ERROR,STOPPED,BUSY
1765905594.0,IN POSN,ERROR,STOPPED,BUSY
1765905594.0,IN POSN,ERROR,STOPPED,BUSY
